uai;uo_lib;sigle;type_d_etablissement;secteur_d_etablissement;url;coordonnees;element_wikidata;rattachement;rattachement_identifiants;dernier_decret_legifrance;localisation;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;numero_telephone_uai;siret;identifiant_eter;identifiant_freebase;statut_juridique_court;statut_juridique_long;qualification_court;qualification_long;compte_facebook;compte_twitter;compte_flickr;flux_rss;compte_linkedin;compte_pinterest;compte_france_culture;compte_scribd;compte_scoopit;compte_tumblr;compte_viadeo;compte_dailymotion;compte_vimeo;compte_youtube;compte_googleplus;autres;mooc;statut_operateur_lolf;libelle_mission_chef_de_file;identifiant_programme_lolf_chef_de_file;libelle_programme_lolf_chef_de_file;identifiants_autres_programmes_lolf;libelles_autres_programmes_lolf;association;association_identifiants
0141408E;Université de Caen Normandie;;Université;Public;http://www.unicaen.fr/;49.1887, -0.363108;http://www.wikidata.org/entity/Q568554;;;;Basse-Normandie>Calvados>Caen;14118;Caen;UU14601;Caen;D014;Calvados;A05;Caen;R25;Basse-Normandie;;ESPLANADE DE LA PAIX;;5186;14032;CAEN CEDEX;;0231565500;19141408500016;FR0008;http://www.freebase.com/m/0hwz_;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://fr-fr.facebook.com/unicaen;https://twitter.com/Universite_Caen;;http://www.unicaen.fr/outils-portail-institutionnel/flux-rss/flux-rss-252521.kjsp?RH=1291198674;;;;;;;http://fr.viadeo.com/fr/company/universite-de-caen-basse-normandie;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
7200664J;Université de Corse Pasquale Paoli;;Université;Public;http://www.univ-corse.fr/;42.3065, 9.15214;http://www.wikidata.org/entity/Q335841;;;;Corse>Haute-Corse>Corte;2B096;Corte;UU2B203;Corte;D02B;Haute-Corse;A27;Corse;R94;Corse;;7 AVENUE J NICOLI;;52;20250;CORTE;;0495450000;19202664900017;FR0281;http://www.freebase.com/m/03c3_vm;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univcorse;https://twitter.com/UnivCorse;;http://www.univ-corse.fr/rss.html;https://www.linkedin.com/edu/school?id=12495;http://www.pinterest.com/univcorse/;http://plus.franceculture.fr/partenaires/corse-pasquale-paoli;;;;http://fr.viadeo.com/fr/company/universite-de-corse-pasquale-paoli;http://www.dailymotion.com/univcorse;;http://www.youtube.com/user/univcorse;https://plus.google.com/+univcorse;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
9830445S;Université de la Nouvelle-Calédonie;;Université;Public;http://www.univ-nc.nc/;-22.2638507, 166.4043178;http://www.wikidata.org/entity/Q734332;;;;Collectivités d'outre-mer>Nouvelle-Calédonie>Nouméa;98818;Nouméa;TOM98818;Nouméa;D988;Nouvelle-Calédonie;A40;Nouvelle-Calédonie;R00;Collectivités d'outre-mer;;145 AVENUE JAMES COOK;;R4;98851;NOUMEA CEDEX;;00687265800;;FR0285;http://www.freebase.com/m/03cp9nt;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univ.nc;;;http://www.univ-nc.nc/feed;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0311383K;Université Toulouse - Jean Jaurès;;Université;Public;http://www.univ-tlse2.fr/;43.5784, 1.40266;http://www.wikidata.org/entity/Q1933558;;;;Midi-Pyrénées>Haute-Garonne>Toulouse;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R73;Midi-Pyrénées;;5 ALLEES ANTONIO MACHADO;;;31058;TOULOUSE CEDEX;;0561504250;19311383400017;FR0039;http://www.freebase.com/m/02pwxtn;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/Universit%C3%A9-Toulouse-Jean-Jaur%C3%A8s/256170874775;https://twitter.com/UTJeanJaures;;http://www.univ-tlse2.fr/rss;;;http://plus.franceculture.fr/partenaires/toulouse-2-le-mirail;;;;http://www.viadeo.com/fr/company/universite-de-toulouse-jean-jaures;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0060931E;Université Nice - Sophia-Antipolis;;Université;Public;http://unice.fr/;43.7167, 7.26827;http://www.wikidata.org/entity/Q1198571;;;;Provence-Alpes-Côte d'Azur>Nice>Alpes-Maritimes>Nice;06088;Nice;UU06701;Nice;D006;Alpes-Maritimes;A23;Nice;R93;Provence-Alpes-Côte d'Azur;;28 AVENUE VALROSE;GRAND CHATEAU;2135;06103;NICE CEDEX 2;;0492076060;19060931300019;FR0001;http://www.freebase.com/m/0d31l3;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/UnivNiceSophia;https://twitter.com/Univ_Nice;;http://filuns.unice.fr/;;;;;;;;;http://vimeo.com/unice/videos;http://www.youtube.com/;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0751723R;Université Paris Diderot;;Université;Public;http://www.univ-paris-diderot.fr/;48.8302, 2.3807;http://www.wikidata.org/entity/Q1235608;;;;Île-de-France>Paris>Paris>Paris 13e;75113;Paris 13e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;5 RUE THOMAS MANN;;;75205;PARIS CEDEX 13;;0144274427;19751723800659;FR0180;http://www.freebase.com/m/07sp60;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univparisdiderot;https://twitter.com/ParisDiderot;;http://www.univ-paris-diderot.fr/universite/rssActu1.php;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0751722P;Université Pierre et Marie Curie;UPMC;Université;Public;http://www.upmc.fr/;48.8466, 2.35448;http://www.wikidata.org/entity/Q1144549;;;;Île-de-France>Paris>Paris>Paris 5e;75105;Paris 5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;4 PLACE JUSSIEU;;;75252;PARIS CEDEX 05;;0144274427;19751722000012;FR0179;http://www.freebase.com/m/0ckgyh;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/upmc.france;https://twitter.com/upmc;;http://www.upmc.fr/fr/rss.xml;https://www.linkedin.com/edu/school?id=12554;;;;;;http://www.viadeo.com/fr/groups/upmc;;;;;http://www.pro.upmc.fr/login.php;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
9730429D;Université de Guyane;;Université;Public;http://www.univ-guyane.fr/;4.93277968427, -52.3015112003;http://www.wikidata.org/entity/Q16682067;;;"http://www.legifrance.gouv.fr/affichTexte.do;jsessionid=?cidTexte=JORFTEXT000029310823&dateTexte=&oldAction=dernierJO&categorieLien=id";Guyane>Cayenne;97302;Cayenne;UU9C601;Cayenne;D973;Guyane;A33;Guyane;R03;Guyane;;2091 ROUTE DE BADUEL;SITE TROUBIRAN;792;97337;CAYENNE CEDEX;;0594289336;13002059700014;;;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univguyane;https://twitter.com/univguyane;;;;;;;;;;;;;;;;Opérateurs MIRES 2015;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0772710C;Université Paris-Est;UPE;Communauté d'universités et établissements;Public;http://www.univ-paris-est.fr/fr/;48.8395, 2.58643;http://www.wikidata.org/entity/Q3551472;;;http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030227257&dateTexte=&categorieLien=id;Île-de-France>Créteil>Seine-et-Marne>Champs-sur-Marne;77083;Champs-sur-Marne;UU00851;Paris;D077;Seine-et-Marne;A24;Créteil;R11;Île-de-France;;5 BOULEVARD DESCARTES;;;77420;CHAMPS SUR MARNE;;0160957251;13000373400014;FR0226;;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/univparisest;https://twitter.com/univparisest;;;https://www.linkedin.com/edu/school?id=162147;;;;;;;;;;;;;Non_Opérateur_LOLF_2014;;150;;;;;
;Université de Strasbourg;;Association d'établissements;Public;;48.579, 7.7663;;;;http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030591279;Alsace>Bas-Rhin>Strasbourg;67482;Strasbourg;UU67701;Strasbourg;D067;Bas-Rhin;A15;Strasbourg;R42;Alsace;;4 RUE BLAISE PASCAL;;CS 90032;67081;STRASBOURG CEDEX;;0368850000;;;;;;;;;;;;;;;;;;;;;;;;;Non_Opérateur_LOLF_2014;;150;;;;;
0312758E;Université fédérale de Toulouse Midi-Pyrénées;;Communauté d'universités et établissements;Public;http://www.univ-toulouse.fr/;43.606, 1.44107;http://www.wikidata.org/entity/Q578023;;;http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030717234;Midi-Pyrénées>Haute-Garonne>Toulouse;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R73;Midi-Pyrénées;;15 RUE DES LOIS;;;31000;TOULOUSE;;0561559282;;;http://www.freebase.com/m/03xgk3;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/UnivToulouse;https://twitter.com/Univ_Toulouse;;;;;;;;;;http://www.dailymotion.com/Universite_de_Toulouse;;;;;;Non_Opérateur_LOLF_2014;;150;;;;;
;Université Bourgogne - Franche-Comté;;Communauté d'universités et établissements;Public;http://www.pres-bourgogne-franche-comte.fr/;;http://www.wikidata.org/entity/Q3359833;;;http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030348096&dateTexte=&categorieLien=id;Franche-Comté>Doubs>Besançon;25056;Besançon;UU25602;Besançon;D025;Doubs;A03;Besançon;R43;Franche-Comté;;;;;;;;;;;;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;;;;;;;;;;;;;;;;;;Non_Opérateur_LOLF_2014;;150;;;;;
0590350K;École des hautes études commerciales du nord;Edhec;Autre établissement;Privé;http://www.edhec.com/;50.675936, 3.169424;http://www.wikidata.org/entity/Q769040;;;http://www.enseignementsup-recherche.gouv.fr/pid20536/bulletin-officiel.html?cid_bo=91459&cbo=1;Nord-Pas-de-Calais>Nord>Roubaix;59512;Roubaix;UU59702;Lille;D059;Nord;A09;Lille;R31;Nord-Pas-de-Calais;;24 AVENUE GUSTAVE DELORY;;;59057;ROUBAIX CEDEX 1;;0320154500;78370706000027;;;Association;Association;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/edhec;https://twitter.com/EDHEC_BSchool;https://www.flickr.com/groups/1695934@N23/pool/;http://www.edhec.com/adminsite/webservices/export_rss.jsp?OBJET=ARTICLE&CODE_RUBRIQUE=INST_6&NOMBRE=10&xtor=RSS-229;https://www.linkedin.com/edu/edhec-business-school-19922;;;;;;;;;https://www.youtube.com/user/EDHECBSchool;;;;Non_Opérateur_LOLF_2014;;;;;;;
0951623Y;École internationale des sciences du traitement de l'information;EISTI;Établissements d'enseignement supérieur privés rattachés à un EPSCP;Privé;https://eisti.fr/;49.034918, 2.070626;http://www.wikidata.org/entity/Q3578029;Institut supérieur de mécanique de Paris;0930603A;http://www.enseignementsup-recherche.gouv.fr/pid20536/bulletin-officiel.html?cid_bo=91459&cbo=1;Île-de-France>Versailles>Val-d'Oise>Cergy;95127;Cergy;UU00851;Paris;D095;Val-d'Oise;A25;Versailles;R11;Île-de-France;;2 AVENUE DU PARC;;;95011;CERGY PONTOISE CEDEX;;0134251010;32858158200025;FR0274;;Association;Association;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/myEISTI;https://twitter.com/myeisti;;;;;;;;;;;;https://www.youtube.com/user/eistiTV;https://plus.google.com/+eistiTV;https://liveisti.wordpress.com/;;Non_Opérateur_LOLF_2014;;;;;;;
